filename,MFCC_Mean_1,MFCC_StdDev_1,MFCC_Mean_2,MFCC_StdDev_2,MFCC_Mean_3,MFCC_StdDev_3,MFCC_Mean_4,MFCC_StdDev_4,MFCC_Mean_5,MFCC_StdDev_5,MFCC_Mean_6,MFCC_StdDev_6,MFCC_Mean_7,MFCC_StdDev_7,MFCC_Mean_8,MFCC_StdDev_8,MFCC_Mean_9,MFCC_StdDev_9,MFCC_Mean_10,MFCC_StdDev_10,MFCC_Mean_11,MFCC_StdDev_11,MFCC_Mean_12,MFCC_StdDev_12,MFCC_Mean_13,MFCC_StdDev_13
ABBA -- The Winner Takes It All_9,-211.84964,39.85261,136.49425,23.837664,-38.03742,12.357015,41.912987,13.200177,-26.208063,15.052231,16.823803,13.862877,-13.654452,14.3329735,13.406012,9.034075,-7.460171,7.561005,-3.8271513,8.90098,-3.9591076,7.512864,-3.8954828,7.552356,-11.959325,6.5562887
All The Things She Said_1,-175.8519,146.32957,131.14354,32.997616,-27.519592,49.39342,30.862188,34.954483,-7.791058,18.827007,14.50922,24.578236,-15.888847,12.26792,7.110794,22.205215,-13.898172,9.60128,-4.229503,16.245302,-10.544489,13.881851,-7.03086,12.814519,-10.23932,9.496406
All The Things She Said_2,-93.26344,87.71287,128.26942,23.309076,-50.065384,14.839977,44.543404,22.581137,-9.77269,15.827868,24.44101,22.089886,-16.875065,11.98432,18.864412,19.535622,-11.644184,9.747498,3.8469515,14.7246,-5.1839323,13.552335,-2.1395462,11.144348,-7.368772,8.313712
All The Things She Said_3,-61.64988,47.25862,128.66345,19.880068,-45.403885,14.5212,53.64565,10.877684,-11.893386,12.341483,33.74073,13.045684,-15.698779,10.567561,27.440544,11.645098,-9.561609,8.1505375,11.53216,10.167801,1.1491423,10.336961,2.98424,7.0675335,-5.2372503,6.1474886
All The Things She Said_4,-72.16522,45.637974,130.56584,21.271027,-39.659008,18.513475,56.300453,11.66339,-13.315957,12.404168,36.7098,10.319826,-14.285952,10.230039,29.933691,8.12569,-8.452011,7.507872,14.347814,8.304675,1.3181508,8.9578,4.278883,7.2125034,-4.950736,6.1332135
All The Things She Said_5,-117.99145,74.38962,129.03569,26.325296,-24.010298,28.067324,50.625256,17.639507,-10.776904,15.287591,34.704655,11.151603,-9.42221,11.715995,28.549894,8.906396,-7.4485407,9.49451,13.876249,9.233541,1.7521797,9.780093,3.281041,7.970415,-3.2370164,7.8705263
All The Things She Said_6,-151.64883,69.005356,133.29395,30.838333,-17.023346,28.05932,50.9552,20.044985,-12.624072,15.972364,37.05241,12.36294,-10.764581,11.863831,28.800718,9.557787,-10.438838,10.175998,14.042392,10.67225,1.0826136,10.198004,3.2322917,8.827917,-3.463509,8.634781
All The Things She Said_7,-169.71057,63.853123,141.17815,36.233105,-7.6590714,25.000055,48.03942,21.09661,-9.189356,17.228008,34.477047,13.594279,-8.782096,12.998889,28.684286,10.175389,-10.722929,11.15904,10.913059,11.344626,2.1883657,11.229333,1.9118654,8.97463,-1.1029499,8.293021
All The Things She Said_8,-178.40663,55.816597,145.73021,35.052853,-1.6676587,23.66547,42.75942,19.799574,-3.5438888,17.618128,31.44319,13.923463,-7.076724,13.430644,28.63157,10.70337,-9.719627,11.616269,9.014469,11.067262,4.5792375,10.870975,-0.045630615,8.825883,-1.2700306,9.006899
All The Things She Said_9,-140.82199,63.904118,144.2349,32.35419,-13.571034,26.16905,49.838444,19.811075,-7.7688127,17.836384,32.621876,13.801617,-9.508437,12.946926,28.600529,10.608308,-8.869031,11.211768,9.283844,10.955217,3.6473124,10.145845,0.80315775,8.467205,-2.2558012,8.224432
Animals — Martin Garrix_1,-238.98517,80.42821,87.54104,38.831295,-5.6359444,25.551008,21.64518,22.98689,-60.375572,17.655142,19.345615,18.719112,-32.60791,12.138268,23.357763,13.046853,-16.292736,8.363888,23.987621,8.985919,2.1561706,9.931317,17.178497,8.407657,-1.6659583,5.6327767
Animals — Martin Garrix_2,-212.52376,67.35351,105.02566,34.58137,-5.1433873,25.906733,20.223892,20.674295,-56.88825,16.919825,15.768517,17.151377,-37.89008,10.772731,17.468122,13.817233,-17.19031,8.670945,23.623941,8.516014,4.293549,9.48349,17.16901,8.217278,-0.76306564,5.305232
Animals — Martin Garrix_3,-192.77892,58.963387,124.36013,38.060593,-8.120358,26.305387,23.109179,17.693794,-48.801914,18.158676,15.390693,16.237356,-40.62723,9.813468,12.26018,13.626434,-19.608309,8.823252,20.563194,10.486956,4.064151,9.009392,16.798632,8.472225,0.41132274,5.07636
Animals — Martin Garrix_4,-178.11931,57.18104,122.88475,35.696453,10.440376,31.535667,24.755922,22.275799,-28.896488,19.21768,15.795226,20.896227,-27.493402,15.075371,8.332413,15.726333,-13.218755,8.86707,15.509632,9.935552,7.6741147,8.482193,13.957115,7.6973886,3.4211414,4.883196
Animals — Martin Garrix_5,-170.17365,56.271385,130.56609,33.59464,17.374205,34.31949,34.311058,21.949335,-18.55831,15.80726,24.468338,21.233742,-20.56154,16.724222,12.936422,16.638874,-11.0259495,9.47247,15.844237,9.992774,6.785418,7.5714355,13.224196,7.079025,3.4318888,5.182259
Animals — Martin Garrix_6,-171.71529,60.294662,132.22095,34.34872,27.367168,34.657513,43.169334,20.39284,-12.256577,12.866608,32.456398,19.345121,-12.464245,13.75005,19.091307,15.528954,-7.761033,8.914373,17.471619,10.36154,6.6164985,7.297961,13.294958,6.9646397,3.5520775,5.510581
Animals — Martin Garrix_7,-166.48422,64.526,127.797554,31.624247,32.353436,31.488298,51.85972,14.403702,-9.388775,9.448807,40.337357,11.828028,-5.7317123,8.241818,26.20493,9.954496,-4.3229218,6.774395,20.919865,7.8596125,6.4993153,7.5471807,13.5162525,6.680516,3.0871766,5.78624
Animals — Martin Garrix_8,-154.18018,61.870556,126.21581,29.288567,27.246223,29.390665,54.803032,15.085921,-12.033449,10.091146,40.05267,10.535087,-4.8804717,8.2831135,25.998981,9.359905,-4.3203874,6.6352386,20.776716,7.5422015,5.053904,7.482332,12.750892,6.6583657,2.523526,5.9292183
Animals — Martin Garrix_9,-131.3195,61.729618,119.562965,27.188461,17.443933,28.16423,60.075115,16.08771,-15.800019,10.440703,40.347378,9.600892,-4.9082537,8.176183,27.055012,8.936413,-5.584006,6.9103336,20.847286,7.4303694,2.5371175,7.552319,13.686974,6.7820926,2.5288236,6.044409
Another One Bites The Dust — Queen_1,-269.20264,137.26477,103.57224,60.718117,23.955034,40.015034,47.08796,29.338032,15.006316,22.158947,25.443676,17.48255,2.0113246,13.734582,25.461987,16.810823,-3.8280673,12.813802,12.104589,12.611101,-1.90721,9.191351,5.92829,8.679578,-1.4921904,6.2316003
Another One Bites The Dust — Queen_2,-233.99715,132.65817,116.382904,63.401382,13.81045,37.4577,39.837692,30.355724,8.331958,21.680565,23.848885,17.973885,-1.4461837,14.707578,24.521603,16.30188,-3.659329,13.127056,10.720001,13.549849,-2.2094574,9.487781,5.225787,8.955851,-2.4434745,6.7128143
Another One Bites The Dust — Queen_3,-212.39845,121.8374,123.01919,61.22008,5.5723524,34.570183,39.188206,30.559614,2.6511827,20.57927,24.403818,18.649504,-4.871149,14.67953,24.675966,16.319065,-3.9116032,13.389868,9.137414,14.742812,-2.0427876,9.948589,5.7673254,9.79683,-2.2029607,7.2358484
Another One Bites The Dust — Queen_4,-182.19164,101.561356,130.85506,55.310646,-4.818262,32.993073,39.065792,30.997395,-1.1510061,19.16207,27.02811,18.920841,-9.183416,15.226793,23.437859,17.305561,-3.878184,13.421318,7.896511,15.461341,-2.7795856,10.3195915,6.122427,10.3593645,-2.4569736,7.8800755
Another One Bites The Dust — Queen_5,-154.49648,97.85677,124.08954,50.93752,-21.727407,31.14216,51.177734,30.419382,-1.3614845,20.561913,30.584782,17.021946,-11.21249,14.196682,22.131851,16.735056,-4.316883,13.499885,6.831571,15.130725,-3.342862,10.835014,7.233,10.642603,-2.1370125,8.177236
Another One Bites The Dust — Queen_6,-176.14154,114.20805,112.42909,45.590405,-19.482832,32.72608,53.359947,27.279577,2.6843746,23.090172,30.623037,16.497114,-8.352554,14.958256,23.127697,16.367847,-3.6166832,12.831837,7.3791885,14.696754,-1.9796902,11.268532,8.078227,10.358239,-0.97840977,7.935022
Another One Bites The Dust — Queen_7,-178.51997,117.01649,115.83771,42.862415,-18.488447,34.741714,49.68174,27.311989,1.3611891,23.229694,28.976624,16.493786,-8.071519,15.627581,22.408077,16.260107,-3.9757936,12.9183,6.5855317,15.251342,-1.470903,11.278214,8.254808,9.9445715,-1.1235157,7.8157234
Another One Bites The Dust — Queen_8,-185.10663,119.76301,116.37794,44.298843,-16.27111,33.99215,49.67212,26.524202,1.1591765,23.88875,26.609547,16.631598,-7.8168983,14.861043,22.325768,16.046604,-4.648567,13.129407,6.919248,15.362597,-0.6425111,11.320941,8.864679,10.027709,-0.7740013,7.5883107
Another One Bites The Dust — Queen_9,-216.06181,126.94874,117.21025,52.565933,-5.1414533,34.99647,41.5114,23.243067,4.956064,23.059435,24.814085,17.573193,-7.563216,15.500089,22.386084,16.198828,-5.118223,13.536433,7.1345663,15.621643,0.043973014,10.870698,7.9201984,10.216368,-0.668131,7.454283
Apologize_1,-294.52026,63.7023,205.26846,36.558174,-1.3206267,17.917377,7.096078,18.065292,31.859001,20.555147,22.141106,11.167155,4.8725834,9.429071,14.648979,8.976401,0.6256216,7.383997,3.137099,7.1677046,12.515677,7.437581,8.612726,7.5203185,2.8586743,8.008733
Apologize_2,-273.92856,60.157997,200.76419,29.322891,-2.8187664,19.171198,13.79775,19.595463,24.43775,20.477089,24.196568,11.690859,2.8924267,11.258586,16.096048,9.887603,0.43644452,7.9479237,3.5090957,7.808118,11.200428,8.126916,9.065272,7.74367,1.9130447,7.938809
Apologize_3,-245.54085,69.71974,189.14638,37.060764,-8.391963,20.727297,25.749039,26.687126,16.716208,22.02327,25.375834,12.807736,0.8038569,12.089188,17.74909,11.322748,-1.2173761,9.7652,4.745882,8.79854,6.976481,9.949536,7.9706974,7.86942,1.6634994,8.007253
