filename,zero_crossing_mean,zero_crossing_var,spectral_cent_mean,spectral_cent_var,spectral_rolloff_mean,spectral_rolloff_var,spectral_flatness_mean,spectral_flatness_var,chroma_mean,chroma_var,bandwidth_mean,bandwidth_var,tempo_mean,tempo_var
"7 Seconds -- Youssou N'Dour, Neneh Cherry_1",0.07879078516090585,0.00733469954092741,2167.678789872794,934130.5938475089,4809.514064129544,3996403.940593171,0.01452491,0.00045530518,0.4017146,0.09571512,2526.5082741844776,303650.4121478377,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_2",0.05800973843532482,0.001637865348257578,2090.689278272082,875402.1530007933,4877.382920125798,4456216.781931869,0.012971371,0.00039616,0.39211345,0.09813198,2613.6567492244276,318979.4927906732,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_3",0.06955062264356149,0.0025923529697706553,2282.754674673212,946022.2779573268,5273.76122707004,4236950.885503994,0.014530808,0.00037042497,0.39133963,0.09610978,2724.2947516964405,281862.93998033914,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_4",0.07278732689240139,0.0022319317311302795,2321.568722946827,858806.020645023,5360.568513449826,3887818.393171289,0.014137443,0.0003081557,0.38385382,0.09569517,2749.4272717906815,251339.58072199643,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_5",0.07279582366589327,0.002316394053404897,2316.2217691903957,905176.4539203643,5429.202475846505,4117502.930484942,0.014751598,0.0003761831,0.36493698,0.09630104,2774.1736482548054,261535.9429506575,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_6",0.0681735788863109,0.002166776588669898,2196.6241352904817,865417.8526405005,5184.780635966502,4422796.314196997,0.0136898225,0.00037102867,0.35869431,0.09719727,2719.6106816900897,287384.23945799394,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_7",0.07425273709396751,0.001857889728497987,2315.2424484050366,845211.8497721787,5406.345305476,4248520.279940906,0.014343437,0.00030912834,0.35929704,0.09686845,2754.1027280252174,292429.9263551923,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_8",0.08601283805829467,0.002174062817146034,2527.6632609031662,790010.2612185773,5899.835360852306,3538176.1996101197,0.017714677,0.00037273378,0.38721517,0.092115544,2886.1086575411973,235387.76604712833,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_9",0.08664783026392112,0.0021323653593690764,2519.366742656919,771200.3182722463,5837.121780289298,3601696.691200132,0.018436275,0.00037709117,0.40229458,0.086884655,2895.3447471178783,230519.90632893666,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_10",0.07659331496519721,0.0017572035222119216,2366.2250546630635,712535.7118655335,5475.541329439167,3673611.7192565184,0.01621369,0.0003444444,0.39750507,0.08741057,2811.3715384716456,222596.82626748693,151.99908088235293,0.0
